Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-jYg8kMIxZ7iHnRE4h9xjnH
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=baseline pliegues=11 clases=9 device=cuda
[*] reanudando: 2 pliegues ya hechos, faltan 9
    [cropdg-unified-multidomain] epoca 1 val_macro_f1=0.0651
    [cropdg-unified-multidomain] epoca 2 val_macro_f1=0.0763
    [cropdg-unified-multidomain] epoca 3 val_macro_f1=0.1224
    [cropdg-unified-multidomain] epoca 4 val_macro_f1=0.1102
    [cropdg-unified-multidomain] epoca 5 val_macro_f1=0.1251
    [cropdg-unified-multidomain] epoca 6 val_macro_f1=0.1416
    [cropdg-unified-multidomain] epoca 7 val_macro_f1=0.1590
    [cropdg-unified-multidomain] epoca 8 val_macro_f1=0.1696
    [cropdg-unified-multidomain] epoca 9 val_macro_f1=0.1681
    [cropdg-unified-multidomain] epoca 10 val_macro_f1=0.1798
    [cropdg-unified-multidomain] epoca 11 val_macro_f1=0.1612
    [cropdg-unified-multidomain] epoca 12 val_macro_f1=0.1743
    [cropdg-unified-multidomain] epoca 13 val_macro_f1=0.1804
    [cropdg-unified-multidomain] epoca 14 val_macro_f1=0.2029
    [cropdg-unified-multidomain] epoca 15 val_macro_f1=0.1924
    [cropdg-unified-multidomain] epoca 16 val_macro_f1=0.1955
    [cropdg-unified-multidomain] epoca 17 val_macro_f1=0.2061
    [cropdg-unified-multidomain] epoca 18 val_macro_f1=0.2188
    [cropdg-unified-multidomain] epoca 19 val_macro_f1=0.1989
    [cropdg-unified-multidomain] epoca 20 val_macro_f1=0.1899
    [cropdg-unified-multidomain] epoca 21 val_macro_f1=0.1897
    [cropdg-unified-multidomain] epoca 22 val_macro_f1=0.2232
    [cropdg-unified-multidomain] epoca 23 val_macro_f1=0.2337
    [cropdg-unified-multidomain] epoca 24 val_macro_f1=0.2136
    [cropdg-unified-multidomain] epoca 25 val_macro_f1=0.1908
    [cropdg-unified-multidomain] epoca 26 val_macro_f1=0.2113
    [cropdg-unified-multidomain] epoca 27 val_macro_f1=0.1882
    [cropdg-unified-multidomain] epoca 28 val_macro_f1=0.2330
    [cropdg-unified-multidomain] original: acierto 0.4672
    [cropdg-unified-multidomain] border_ring: acierto 0.1730
    [maize-2-roboflow] epoca 1 val_macro_f1=0.3296
    [maize-2-roboflow] epoca 2 val_macro_f1=0.3705
    [maize-2-roboflow] epoca 3 val_macro_f1=0.3878
    [maize-2-roboflow] epoca 4 val_macro_f1=0.3955
    [maize-2-roboflow] epoca 5 val_macro_f1=0.3906
    [maize-2-roboflow] epoca 6 val_macro_f1=0.4364
