Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-m1gF2HNZAyFiFbNEksT4Rq
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=colour_strong pliegues=11 clases=9 device=cuda
    [corn-leaf-diseases-classification-roboflow] epoca 1 val_macro_f1=0.1430
    [corn-leaf-diseases-classification-roboflow] epoca 2 val_macro_f1=0.1971
    [corn-leaf-diseases-classification-roboflow] epoca 3 val_macro_f1=0.2184
    [corn-leaf-diseases-classification-roboflow] epoca 4 val_macro_f1=0.2416
    [corn-leaf-diseases-classification-roboflow] epoca 5 val_macro_f1=0.2311
    [corn-leaf-diseases-classification-roboflow] epoca 6 val_macro_f1=0.2564
    [corn-leaf-diseases-classification-roboflow] epoca 7 val_macro_f1=0.2990
    [corn-leaf-diseases-classification-roboflow] epoca 8 val_macro_f1=0.2525
    [corn-leaf-diseases-classification-roboflow] epoca 9 val_macro_f1=0.2867
    [corn-leaf-diseases-classification-roboflow] epoca 10 val_macro_f1=0.2835
    [corn-leaf-diseases-classification-roboflow] epoca 11 val_macro_f1=0.2666
    [corn-leaf-diseases-classification-roboflow] epoca 12 val_macro_f1=0.2863
    [corn-leaf-diseases-classification-roboflow] epoca 13 val_macro_f1=0.2761
    [corn-leaf-diseases-classification-roboflow] epoca 14 val_macro_f1=0.2670
    [corn-leaf-diseases-classification-roboflow] epoca 15 val_macro_f1=0.2868
    [corn-leaf-diseases-classification-roboflow] original: acierto 0.7647
    [corn-leaf-diseases-classification-roboflow] border_ring: acierto 0.1113
    [corn-leaf-roboflow] epoca 1 val_macro_f1=0.0783
    [corn-leaf-roboflow] epoca 2 val_macro_f1=0.1102
    [corn-leaf-roboflow] epoca 3 val_macro_f1=0.1307
    [corn-leaf-roboflow] epoca 4 val_macro_f1=0.1594
    [corn-leaf-roboflow] epoca 5 val_macro_f1=0.1564
    [corn-leaf-roboflow] epoca 6 val_macro_f1=0.1497
    [corn-leaf-roboflow] epoca 7 val_macro_f1=0.1418
    [corn-leaf-roboflow] epoca 8 val_macro_f1=0.1444
    [corn-leaf-roboflow] epoca 9 val_macro_f1=0.1795
    [corn-leaf-roboflow] epoca 10 val_macro_f1=0.1822
    [corn-leaf-roboflow] epoca 11 val_macro_f1=0.1808
    [corn-leaf-roboflow] epoca 12 val_macro_f1=0.1564
    [corn-leaf-roboflow] epoca 13 val_macro_f1=0.1742
    [corn-leaf-roboflow] epoca 14 val_macro_f1=0.1650
    [corn-leaf-roboflow] epoca 15 val_macro_f1=0.1675
    [corn-leaf-roboflow] epoca 16 val_macro_f1=0.1484
    [corn-leaf-roboflow] epoca 17 val_macro_f1=0.1529
