Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-rfTblk3JSwwRAo38DB7N3G
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=colour_strong pliegues=11 clases=9 device=cuda
[*] reanudando: 1 pliegues ya hechos, faltan 10
    [corn-leaf-roboflow] epoca 1 val_macro_f1=0.0879
    [corn-leaf-roboflow] epoca 2 val_macro_f1=0.1150
    [corn-leaf-roboflow] epoca 3 val_macro_f1=0.1398
    [corn-leaf-roboflow] epoca 4 val_macro_f1=0.1295
    [corn-leaf-roboflow] epoca 5 val_macro_f1=0.1323
    [corn-leaf-roboflow] epoca 6 val_macro_f1=0.1389
    [corn-leaf-roboflow] epoca 7 val_macro_f1=0.1567
    [corn-leaf-roboflow] epoca 8 val_macro_f1=0.1284
    [corn-leaf-roboflow] epoca 9 val_macro_f1=0.1418
    [corn-leaf-roboflow] epoca 10 val_macro_f1=0.1536
    [corn-leaf-roboflow] epoca 11 val_macro_f1=0.1359
    [corn-leaf-roboflow] epoca 12 val_macro_f1=0.1479
    [corn-leaf-roboflow] original: acierto 0.3292
    [corn-leaf-roboflow] border_ring: acierto 0.2086
    [cropdg-unified-multidomain] epoca 1 val_macro_f1=0.0636
    [cropdg-unified-multidomain] epoca 2 val_macro_f1=0.0728
    [cropdg-unified-multidomain] epoca 3 val_macro_f1=0.0665
    [cropdg-unified-multidomain] epoca 4 val_macro_f1=0.0845
    [cropdg-unified-multidomain] epoca 5 val_macro_f1=0.0912
    [cropdg-unified-multidomain] epoca 6 val_macro_f1=0.1049
    [cropdg-unified-multidomain] epoca 7 val_macro_f1=0.1327
    [cropdg-unified-multidomain] epoca 8 val_macro_f1=0.1343
    [cropdg-unified-multidomain] epoca 9 val_macro_f1=0.1478
    [cropdg-unified-multidomain] epoca 10 val_macro_f1=0.1624
    [cropdg-unified-multidomain] epoca 11 val_macro_f1=0.1688
    [cropdg-unified-multidomain] epoca 12 val_macro_f1=0.1717
    [cropdg-unified-multidomain] epoca 13 val_macro_f1=0.1556
    [cropdg-unified-multidomain] epoca 14 val_macro_f1=0.1570
    [cropdg-unified-multidomain] epoca 15 val_macro_f1=0.1505
    [cropdg-unified-multidomain] epoca 16 val_macro_f1=0.1574
    [cropdg-unified-multidomain] epoca 17 val_macro_f1=0.1623
    [cropdg-unified-multidomain] original: acierto 0.4914
    [cropdg-unified-multidomain] border_ring: acierto 0.4148
    [maize-2-roboflow] epoca 1 val_macro_f1=0.2924
    [maize-2-roboflow] epoca 2 val_macro_f1=0.3292
    [maize-2-roboflow] epoca 3 val_macro_f1=0.3652
