Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-iYHr4i5T4P5Q9Fvq7za0Wj
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=crop_all pliegues=11 clases=9 device=cuda
    [corn-leaf-diseases-classification-roboflow] epoca 1 val_macro_f1=0.1407
Stopping app - user stopped from dashboard.
Traceback (most recent call last)    [corn-leaf-diseases-classification-roboflow] epoca 3 val_macro_f1=0.2103
    [corn-leaf-diseases-classification-roboflow] epoca 4 val_macro_f1=0.2049
    [corn-leaf-diseases-classification-roboflow] epoca 5 val_macro_f1=0.2109
    [corn-leaf-diseases-classification-roboflow] epoca 6 val_macro_f1=0.2331
    [corn-leaf-diseases-classification-roboflow] epoca 7 val_macro_f1=0.2272
    [corn-leaf-diseases-classification-roboflow] epoca 8 val_macro_f1=0.2712
    [corn-leaf-diseases-classification-roboflow] epoca 9 val_macro_f1=0.2638
    [corn-leaf-diseases-classification-roboflow] epoca 10 val_macro_f1=0.2716
    [corn-leaf-diseases-classification-roboflow] epoca 11 val_macro_f1=0.2678
    [corn-leaf-diseases-classification-roboflow] epoca 12 val_macro_f1=0.2605
    [corn-leaf-diseases-classification-roboflow] epoca 13 val_macro_f1=0.2623
    [corn-leaf-diseases-classification-roboflow] epoca 14 val_macro_f1=0.3070
    [corn-leaf-diseases-classification-roboflow] epoca 15 val_macro_f1=0.3268
    [corn-leaf-diseases-classification-roboflow] epoca 16 val_macro_f1=0.3175
    [corn-leaf-diseases-classification-roboflow] epoca 17 val_macro_f1=0.2731
    [corn-leaf-diseases-classification-roboflow] epoca 18 val_macro_f1=0.3097
    [corn-leaf-diseases-classification-roboflow] epoca 19 val_macro_f1=0.3434
    [corn-leaf-diseases-classification-roboflow] epoca 20 val_macro_f1=0.2839
    [corn-leaf-diseases-classification-roboflow] epoca 21 val_macro_f1=0.2826
    [corn-leaf-diseases-classification-roboflow] epoca 22 val_macro_f1=0.2985
    [corn-leaf-diseases-classification-roboflow] epoca 23 val_macro_f1=0.2813
    [corn-leaf-diseases-classification-roboflow] epoca 24 val_macro_f1=0.3778
    [corn-leaf-diseases-classification-roboflow] epoca 25 val_macro_f1=0.3013
    [corn-leaf-diseases-classification-roboflow] epoca 26 val_macro_f1=0.2903
    [corn-leaf-diseases-classification-roboflow] epoca 27 val_macro_f1=0.3378
    [corn-leaf-diseases-classification-roboflow] epoca 28 val_macro_f1=0.3449
    [corn-leaf-diseases-classification-roboflow] epoca 29 val_macro_f1=0.2886
    [corn-leaf-diseases-classification-roboflow] original: acierto 0.3361
    [corn-leaf-diseases-classification-roboflow] border_ring: acierto 0.1576
