Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-RQlVN0N9YYy0Dhs4wRRsk4
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\augmentation_h
│   ardening.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_augmentation_hardening.
[*] casi-duplicados eliminados: 165 de 33433
[*] augment=hardened pliegues=11 clases=9
    [corn-leaf-diseases-classification-roboflow] epoca 1 val_macro_f1=0.1106
    [corn-leaf-diseases-classification-roboflow] epoca 2 val_macro_f1=0.1493
    [corn-leaf-diseases-classification-roboflow] epoca 3 val_macro_f1=0.1753
    [corn-leaf-diseases-classification-roboflow] epoca 4 val_macro_f1=0.2420
    [corn-leaf-diseases-classification-roboflow] epoca 5 val_macro_f1=0.2192
    [corn-leaf-diseases-classification-roboflow] epoca 6 val_macro_f1=0.2327
    [corn-leaf-diseases-classification-roboflow] epoca 7 val_macro_f1=0.2248
    [corn-leaf-diseases-classification-roboflow] epoca 8 val_macro_f1=0.2362
    [corn-leaf-diseases-classification-roboflow] epoca 9 val_macro_f1=0.2480
    [corn-leaf-diseases-classification-roboflow] epoca 10 val_macro_f1=0.2523
    [corn-leaf-diseases-classification-roboflow] epoca 11 val_macro_f1=0.2490
    [corn-leaf-diseases-classification-roboflow] epoca 12 val_macro_f1=0.2411
    [corn-leaf-diseases-classification-roboflow] epoca 13 val_macro_f1=0.2512
    [corn-leaf-diseases-classification-roboflow] epoca 14 val_macro_f1=0.2580
    [corn-leaf-diseases-classification-roboflow] epoca 15 val_macro_f1=0.2481
    [corn-leaf-diseases-classification-roboflow] epoca 16 val_macro_f1=0.2483
    [corn-leaf-diseases-classification-roboflow] epoca 17 val_macro_f1=0.2503
    [corn-leaf-diseases-classification-roboflow] epoca 18 val_macro_f1=0.2534
    [corn-leaf-diseases-classification-roboflow] epoca 19 val_macro_f1=0.2513
    [corn-leaf-diseases-classification-roboflow] epoca 20 val_macro_f1=0.2596
    [corn-leaf-diseases-classification-roboflow] epoca 21 val_macro_f1=0.2621
    [corn-leaf-diseases-classification-roboflow] epoca 22 val_macro_f1=0.2576
    [corn-leaf-diseases-classification-roboflow] epoca 23 val_macro_f1=0.2504
    [corn-leaf-diseases-classification-roboflow] epoca 24 val_macro_f1=0.2571
    [corn-leaf-diseases-classification-roboflow] epoca 25 val_macro_f1=0.2608
    [corn-leaf-diseases-classification-roboflow] original: acierto 0.6008
    [corn-leaf-diseases-classification-roboflow] border_ring: acierto 0.1618
    [corn-leaf-roboflow] epoca 1 val_macro_f1=0.1176
    [corn-leaf-roboflow] epoca 2 val_macro_f1=0.1290
    [corn-leaf-roboflow] epoca 3 val_macro_f1=0.1233
    [corn-leaf-roboflow] epoca 4 val_macro_f1=0.1316
    [corn-leaf-roboflow] epoca 5 val_macro_f1=0.1369
    [corn-leaf-roboflow] epoca 6 val_macro_f1=0.1545
    [corn-leaf-roboflow] epoca 7 val_macro_f1=0.1537
    [corn-leaf-roboflow] epoca 8 val_macro_f1=0.1605
    [corn-leaf-roboflow] epoca 9 val_macro_f1=0.1486
    [corn-leaf-roboflow] epoca 10 val_macro_f1=0.1539
    [corn-leaf-roboflow] epoca 11 val_macro_f1=0.1556
    [corn-leaf-roboflow] epoca 12 val_macro_f1=0.1616
    [corn-leaf-roboflow] epoca 13 val_macro_f1=0.1612
    [corn-leaf-roboflow] epoca 14 val_macro_f1=0.1763
    [corn-leaf-roboflow] epoca 15 val_macro_f1=0.1646
    [corn-leaf-roboflow] epoca 16 val_macro_f1=0.1682
    [corn-leaf-roboflow] epoca 17 val_macro_f1=0.1658
    [corn-leaf-roboflow] epoca 18 val_macro_f1=0.1680
    [corn-leaf-roboflow] epoca 19 val_macro_f1=0.1665
    [corn-leaf-roboflow] epoca 20 val_macro_f1=0.1605
    [corn-leaf-roboflow] original: acierto 0.4012
    [corn-leaf-roboflow] border_ring: acierto 0.1740
    [cropdg-unified-multidomain] epoca 1 val_macro_f1=0.0647
    [cropdg-unified-multidomain] epoca 2 val_macro_f1=0.0658
    [cropdg-unified-multidomain] epoca 3 val_macro_f1=0.0876
    [cropdg-unified-multidomain] epoca 4 val_macro_f1=0.0863
    [cropdg-unified-multidomain] epoca 5 val_macro_f1=0.0886
    [cropdg-unified-multidomain] epoca 6 val_macro_f1=0.1031
    [cropdg-unified-multidomain] epoca 7 val_macro_f1=0.1085
    [cropdg-unified-multidomain] epoca 8 val_macro_f1=0.0974
    [cropdg-unified-multidomain] epoca 9 val_macro_f1=0.1041
    [cropdg-unified-multidomain] epoca 10 val_macro_f1=0.1085
    [cropdg-unified-multidomain] epoca 11 val_macro_f1=0.1111
    [cropdg-unified-multidomain] epoca 12 val_macro_f1=0.1106
    [cropdg-unified-multidomain] epoca 13 val_macro_f1=0.1270
    [cropdg-unified-multidomain] epoca 14 val_macro_f1=0.1072
    [cropdg-unified-multidomain] epoca 15 val_macro_f1=0.1092
    [cropdg-unified-multidomain] epoca 16 val_macro_f1=0.1244
    [cropdg-unified-multidomain] epoca 17 val_macro_f1=0.1205
    [cropdg-unified-multidomain] epoca 18 val_macro_f1=0.1186
    [cropdg-unified-multidomain] epoca 19 val_macro_f1=0.1238
    [cropdg-unified-multidomain] original: acierto 0.5188
    [cropdg-unified-multidomain] border_ring: acierto 0.4520
    [maize-2-roboflow] epoca 1 val_macro_f1=0.2630
    [maize-2-roboflow] epoca 2 val_macro_f1=0.3133
    [maize-2-roboflow] epoca 3 val_macro_f1=0.3160
    [maize-2-roboflow] epoca 4 val_macro_f1=0.3302
    [maize-2-roboflow] epoca 5 val_macro_f1=0.3330
    [maize-2-roboflow] epoca 6 val_macro_f1=0.3449
    [maize-2-roboflow] epoca 7 val_macro_f1=0.3325
    [maize-2-roboflow] epoca 8 val_macro_f1=0.3542
    [maize-2-roboflow] epoca 9 val_macro_f1=0.3428
    [maize-2-roboflow] epoca 10 val_macro_f1=0.3617
    [maize-2-roboflow] epoca 11 val_macro_f1=0.3606
    [maize-2-roboflow] epoca 12 val_macro_f1=0.3637
    [maize-2-roboflow] epoca 13 val_macro_f1=0.3671
    [maize-2-roboflow] epoca 14 val_macro_f1=0.3581
    [maize-2-roboflow] epoca 15 val_macro_f1=0.3557
    [maize-2-roboflow] epoca 16 val_macro_f1=0.3662
    [maize-2-roboflow] epoca 17 val_macro_f1=0.3699
    [maize-2-roboflow] epoca 18 val_macro_f1=0.3699
