Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-w8bPgb2wsdss8rCXgipAOm
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\augmentation_h
│   ardening.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_augmentation_hardening.
[*] casi-duplicados eliminados: 165 de 33433
[*] augment=none pliegues=11 clases=9
    [corn-leaf-diseases-classification-roboflow] epoca 1 val_macro_f1=0.1968
    [corn-leaf-diseases-classification-roboflow] epoca 2 val_macro_f1=0.2564
    [corn-leaf-diseases-classification-roboflow] epoca 3 val_macro_f1=0.2379
    [corn-leaf-diseases-classification-roboflow] epoca 4 val_macro_f1=0.2611
    [corn-leaf-diseases-classification-roboflow] epoca 5 val_macro_f1=0.2534
    [corn-leaf-diseases-classification-roboflow] epoca 6 val_macro_f1=0.2573
    [corn-leaf-diseases-classification-roboflow] epoca 7 val_macro_f1=0.2534
    [corn-leaf-diseases-classification-roboflow] epoca 8 val_macro_f1=0.2633
    [corn-leaf-diseases-classification-roboflow] epoca 9 val_macro_f1=0.2595
    [corn-leaf-diseases-classification-roboflow] epoca 10 val_macro_f1=0.2651
    [corn-leaf-diseases-classification-roboflow] epoca 11 val_macro_f1=0.3031
    [corn-leaf-diseases-classification-roboflow] epoca 12 val_macro_f1=0.2597
    [corn-leaf-diseases-classification-roboflow] epoca 13 val_macro_f1=0.2596
    [corn-leaf-diseases-classification-roboflow] epoca 14 val_macro_f1=0.2697
    [corn-leaf-diseases-classification-roboflow] epoca 15 val_macro_f1=0.3051
    [corn-leaf-diseases-classification-roboflow] epoca 16 val_macro_f1=0.3041
    [corn-leaf-diseases-classification-roboflow] epoca 17 val_macro_f1=0.2706
    [corn-leaf-diseases-classification-roboflow] epoca 18 val_macro_f1=0.2989
    [corn-leaf-diseases-classification-roboflow] epoca 19 val_macro_f1=0.2701
    [corn-leaf-diseases-classification-roboflow] epoca 20 val_macro_f1=0.2730
    [corn-leaf-diseases-classification-roboflow] epoca 21 val_macro_f1=0.2705
    [corn-leaf-diseases-classification-roboflow] original: acierto 0.6513
    [corn-leaf-diseases-classification-roboflow] border_ring: acierto 0.1282
    [corn-leaf-roboflow] epoca 1 val_macro_f1=0.1316
    [corn-leaf-roboflow] epoca 2 val_macro_f1=0.1613
    [corn-leaf-roboflow] epoca 3 val_macro_f1=0.1449
    [corn-leaf-roboflow] epoca 4 val_macro_f1=0.1530
    [corn-leaf-roboflow] epoca 5 val_macro_f1=0.1598
    [corn-leaf-roboflow] epoca 6 val_macro_f1=0.1494
    [corn-leaf-roboflow] epoca 7 val_macro_f1=0.1566
    [corn-leaf-roboflow] epoca 8 val_macro_f1=0.1481
    [corn-leaf-roboflow] original: acierto 0.3919
    [corn-leaf-roboflow] border_ring: acierto 0.1915
    [cropdg-unified-multidomain] epoca 1 val_macro_f1=0.1193
    [cropdg-unified-multidomain] epoca 2 val_macro_f1=0.1161
    [cropdg-unified-multidomain] epoca 3 val_macro_f1=0.1432
    [cropdg-unified-multidomain] epoca 4 val_macro_f1=0.1334
    [cropdg-unified-multidomain] epoca 5 val_macro_f1=0.1397
    [cropdg-unified-multidomain] epoca 6 val_macro_f1=0.1379
    [cropdg-unified-multidomain] epoca 7 val_macro_f1=0.1346
    [cropdg-unified-multidomain] epoca 8 val_macro_f1=0.1313
    [cropdg-unified-multidomain] epoca 9 val_macro_f1=0.1305
    [cropdg-unified-multidomain] original: acierto 0.4402
    [cropdg-unified-multidomain] border_ring: acierto 0.3402
    [maize-2-roboflow] epoca 1 val_macro_f1=0.3053
    [maize-2-roboflow] epoca 2 val_macro_f1=0.3407
    [maize-2-roboflow] epoca 3 val_macro_f1=0.3547
    [maize-2-roboflow] epoca 4 val_macro_f1=0.3532
    [maize-2-roboflow] epoca 5 val_macro_f1=0.3640
    [maize-2-roboflow] epoca 6 val_macro_f1=0.3640
    [maize-2-roboflow] epoca 7 val_macro_f1=0.3595
    [maize-2-roboflow] epoca 8 val_macro_f1=0.3712
    [maize-2-roboflow] epoca 9 val_macro_f1=0.3651
    [maize-2-roboflow] epoca 10 val_macro_f1=0.3736
    [maize-2-roboflow] epoca 11 val_macro_f1=0.3774
    [maize-2-roboflow] epoca 12 val_macro_f1=0.3751
    [maize-2-roboflow] epoca 13 val_macro_f1=0.3748
    [maize-2-roboflow] epoca 14 val_macro_f1=0.3704
    [maize-2-roboflow] epoca 15 val_macro_f1=0.3742
    [maize-2-roboflow] epoca 16 val_macro_f1=0.3737
    [maize-2-roboflow] epoca 17 val_macro_f1=0.3757
    [maize-2-roboflow] original: acierto 0.3763
    [maize-2-roboflow] border_ring: acierto 0.0189
    [maize-beans-tomatoes-africa] epoca 1 val_macro_f1=0.2134
    [maize-beans-tomatoes-africa] epoca 2 val_macro_f1=0.2548
    [maize-beans-tomatoes-africa] epoca 3 val_macro_f1=0.2947
    [maize-beans-tomatoes-africa] epoca 4 val_macro_f1=0.2969
    [maize-beans-tomatoes-africa] epoca 5 val_macro_f1=0.3040
    [maize-beans-tomatoes-africa] epoca 6 val_macro_f1=0.3212
    [maize-beans-tomatoes-africa] epoca 7 val_macro_f1=0.2821
    [maize-beans-tomatoes-africa] epoca 8 val_macro_f1=0.3819
    [maize-beans-tomatoes-africa] epoca 9 val_macro_f1=0.3187
    [maize-beans-tomatoes-africa] epoca 10 val_macro_f1=0.2870
    [maize-beans-tomatoes-africa] epoca 11 val_macro_f1=0.3401
    [maize-beans-tomatoes-africa] epoca 12 val_macro_f1=0.2916
    [maize-beans-tomatoes-africa] epoca 13 val_macro_f1=0.3311
    [maize-beans-tomatoes-africa] epoca 14 val_macro_f1=0.3392
    [maize-beans-tomatoes-africa] original: acierto 0.7970
    [maize-beans-tomatoes-africa] border_ring: acierto 0.4045
    [maize-deficiency-scanner-roboflow] epoca 1 val_macro_f1=0.2711
    [maize-deficiency-scanner-roboflow] epoca 2 val_macro_f1=0.2860
    [maize-deficiency-scanner-roboflow] epoca 3 val_macro_f1=0.2968
    [maize-deficiency-scanner-roboflow] epoca 4 val_macro_f1=0.2993
    [maize-deficiency-scanner-roboflow] epoca 5 val_macro_f1=0.3012
    [maize-deficiency-scanner-roboflow] epoca 6 val_macro_f1=0.3019
    [maize-deficiency-scanner-roboflow] epoca 7 val_macro_f1=0.3095
    [maize-deficiency-scanner-roboflow] epoca 8 val_macro_f1=0.3070
