trial_number,trial_id,state,value,learning_rate,weight_decay,label_smoothing,batch_size,class_weights,warmup_epochs,dropout,scheduler,optimizer,best_epoch,executed_epochs,early_stopped,best_val_loss,best_train_macro_f1,train_macro_f1_at_best_val,train_val_gap,duration_seconds,datetime_start,datetime_complete,run_id,config_sha256,error
0,trial_000,COMPLETE,0.9572922254288656,8.468008575248323e-05,0.005669849511478858,0.075,16,none,1,,cosine,AdamW,44.0,52.0,True,0.4448641099133813,0.9974215723859532,0.9947451419146387,0.03745291648577309,2890.575076439,2026-09-23T13:25:36.460555,2026-09-23T14:13:47.564818,trial_000,0e6c7488549a3639ffb1d031202ecb5acae0f4b938a24af69715048efae2173c,
1,trial_001,COMPLETE,0.9482177031656066,5.670807781371427e-05,4.205156450913872e-05,0.025,64,none,1,,cosine,AdamW,49.0,57.0,True,0.23669441831886984,0.9989398858766765,0.9962611126723306,0.04804340950672403,3051.118304968,2026-09-23T14:13:48.301086,2026-09-23T15:04:40.012318,trial_001,b8a8ed5dbbfd13ff3363466181e7f97fb1409a0ae43d96111c5ab9673ee1eff8,
2,trial_002,FAIL,,1.4492412389916857e-05,0.005551721685244726,0.075,16,inverse,3,,cosine,AdamW,,,,,,,,18705.376023,2026-09-23T15:04:58.147988,2026-09-23T20:16:43.524011,trial_002,be6921972525e082629d9b35bc74e06af0379f714f1767cbe8eb35eef91ca3e8,Proceso anterior interrumpido; trial marcado FAIL al reanudar.
3,trial_003,COMPLETE,0.9359111400035606,0.0002260828676373493,8.399864445957497e-07,0.15,16,none,2,,cosine,AdamW,12.0,20.0,True,0.7454455308720178,0.9730262969116039,0.9549330292958265,0.019021889292265892,1125.946786006,2026-09-23T20:16:43.539397,2026-09-23T20:35:30.018761,trial_003,f0ad024ba34f7baf52b21333f18345ca1c3efb66bde0060649084016ec354fe6,
4,trial_004,FAIL,,4.9648810171066576e-05,5.1698794422985435e-05,0.025,32,sqrt_inverse,1,,cosine,AdamW,,,,,,,,1397.086139,2026-09-23T20:35:31.594059,2026-09-23T20:58:48.680198,trial_004,c3989d8493a7affb7392a60e4cfe2db46b1385732de88c59fbc2f1429dfdbb38,Proceso anterior interrumpido; trial marcado FAIL al reanudar.
5,trial_005,COMPLETE,0.9422869982777625,0.0013740794394697655,0.00013076473382928543,0.0,16,inverse,3,,cosine,AdamW,52.0,60.0,True,0.36042235296597325,0.9932632495565519,0.9894904532173473,0.04720345493958478,3510.2720750430003,2026-09-23T20:58:48.701428,2026-09-23T21:57:19.662671,trial_005,60dc88501c05cc1041767c4b1bb19dce7ec3cf3b367b46cd967b1e738e53f0d1,
6,trial_006,COMPLETE,0.9536286932679471,0.0001971844222061614,1.3731092468240299e-05,0.0,32,sqrt_inverse,1,,cosine,AdamW,50.0,58.0,True,0.2554637276807245,0.9997434216381349,0.9982430200761107,0.044614326808163574,3105.26846976,2026-09-23T21:57:22.420740,2026-09-23T22:49:08.353341,trial_006,4234693444b8a3bf618845e1cecce331e9cdf8f1906af898e3ba696ceb83ea21,
7,trial_007,PRUNED,0.8788271332780571,0.0020089716820180232,0.0010979988817809677,0.025,32,inverse,5,,cosine,AdamW,8.0,8.0,False,0.6745344472307246,0.8897997264887013,0.8897997264887013,0.010972593210644255,434.46710913400057,2026-09-23T22:49:30.873199,2026-09-23T22:56:45.973550,trial_007,1822438b3e37b972b3b4a54575a41358204c8ebd096ce20a3bbd96aa9b0dbc65,
8,trial_008,PRUNED,0.8002169020332746,1.0404501336028154e-05,3.578792453502323e-05,0.075,16,inverse,2,,cosine,AdamW,8.0,8.0,False,1.221817116800795,0.8259558634202505,0.8259558634202505,0.025738961386975956,488.01223910000044,2026-09-23T22:56:47.289215,2026-09-23T23:04:55.905588,trial_008,dd6780e75613a54ca22bb38614e7c1552d872fe535b5a99e483a5d947d6603b7,
9,trial_009,PRUNED,0.8837966620394688,5.0767343982976065e-05,1.529095945583036e-07,0.05,16,inverse,4,,cosine,AdamW,7.0,8.0,False,0.8564875893138056,0.9248796669936493,0.9102759164130583,0.024013990469885393,488.0991219489997,2026-09-23T23:05:21.819096,2026-09-23T23:13:30.563935,trial_009,ac79cb27ff95d78b8688a188e3dab315df4f07659303b6e598d362a3015ab482,
10,trial_010,COMPLETE,0.9542201116449669,8.147857317658701e-05,0.00014505381415853765,0.05,16,sqrt_inverse,1,,cosine,AdamW,27.0,35.0,True,0.49531592662830626,0.9926592279771891,0.9846197397630088,0.030399628118041866,2111.1400961189993,2026-09-23T23:13:32.069869,2026-09-23T23:48:43.838185,trial_010,d130da514bcdb7c1ea89a9769ba6659d7be2fb793078311905e85522ab3badcc,
