fuente,n,clases,mejor,ens,delta
cropdg,390,3,0.944005599440056,0.9285714285714285,-0.015434170868627528
maize_2_roboflow,116,3,0.914846412677738,0.9067617261878805,-0.008084686489857495
corn_leaf_diseases_classification_roboflow,73,1,0.993103448275862,0.9861111111111112,-0.006992337164750895
maize_africa,1499,3,0.9995350999535101,0.9983428002047087,-0.0011922997488014175
maize_desease_v1.1,742,1,1.0,0.9993256911665542,-0.0006743088334457692
maize_africa_v1.2,255,1,1.0,1.0,0.0
maize_desease,330,2,0.9982817869415808,0.9982817869415808,0.0
maize_africa_v1,62,1,1.0,1.0,0.0
maize_leaf_roboflow,48,1,1.0,1.0,0.0
maize_nutrient,49,4,0.9392857142857143,0.9392857142857143,0.0
maize_field,133,3,0.8564614397947731,0.8580730678431827,0.0016116280484096412
multi_desease,862,3,0.9976796181713853,0.9993476842791912,0.001668066107805899
corn_leaf_roboflow,424,6,0.912784834356826,0.9271496104768916,0.014364776120065592
maize_deficiency_scanner_roboflow,32,3,0.8830769230769232,0.9087179487179488,0.02564102564102555
