source_id,n,clases_con_soporte,accuracy,accuracy_clase_mayoritaria,macro_f1_evaluable
maize_africa,1499,3,0.9946631087391594,0.43028685790527016,0.9964596388278765
multi_desease,862,3,0.9930394431554525,0.54292343387471,0.9942563861034591
maize_desease_v1.1,742,1,1.0,1.0,1.0
corn_leaf_roboflow,424,6,0.9245283018867925,0.2665094339622642,0.9107008696169223
cropdg,390,3,0.958974358974359,0.46153846153846156,0.944005599440056
maize_desease,330,2,0.996969696969697,0.5575757575757576,0.9982817869415808
maize_africa_v1.2,255,1,1.0,1.0,1.0
maize_field,133,3,0.8796992481203008,0.6917293233082706,0.8483319881624967
maize_2_roboflow,116,3,0.8706896551724138,0.3706896551724138,0.8742944558738196
corn_leaf_diseases_classification_roboflow,73,1,0.9726027397260274,1.0,0.9861111111111112
maize_africa_v1,62,1,1.0,1.0,1.0
maize_nutrient,49,4,0.9183673469387755,0.4897959183673469,0.8980263157894737
maize_leaf_roboflow,48,1,1.0,1.0,1.0
maize_deficiency_scanner_roboflow,32,3,0.84375,0.40625,0.8570750237416904
