number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clahe,params_class_weights,params_label_smoothing,params_learning_rate,params_warmup_epochs,params_weight_decay,state
0,0.9306631394348628,2026-09-09 20:44:37.864203,2026-09-09 22:49:04.580509,0 days 02:04:26.716306,16,False,none,0.09016725176148131,5.6115164153345e-05,4,0.0071144760093434225,COMPLETE
1,0.9529562710738101,2026-09-09 22:49:04.603845,2026-09-10 00:13:05.145583,0 days 01:24:00.541738,64,False,sqrt_inverse,0.09177793420835692,0.000462258900102083,1,4.335281794951564e-05,COMPLETE
2,0.9297879450879214,2026-09-10 00:13:05.163538,2026-09-10 02:31:36.010645,0 days 02:18:30.847107,64,True,inverse,0.009757738947791927,8.168455894760161e-05,5,0.0022673986523780395,COMPLETE
3,0.8526351835344174,2026-09-10 02:31:36.025121,2026-09-10 02:55:34.580966,0 days 00:23:58.555845,16,False,none,0.03881699724000254,4.066563313514796e-05,4,1.9634341572933304e-05,PRUNED
4,,2026-09-10 02:55:34.605582,2026-09-10 03:32:08.681533,0 days 00:36:34.075951,16,False,none,0.013273875307787925,0.00012399967836846095,1,3.585612610345396e-05,FAIL
5,0.8709026859839222,2026-09-10 03:32:24.990001,2026-09-10 03:58:57.802161,0 days 00:26:32.812160,16,False,none,0.09016725176148131,5.6115164153345e-05,4,0.0071144760093434225,PRUNED
6,0.9528905306581592,2026-09-10 03:58:57.826962,2026-09-10 05:23:55.689934,0 days 01:24:57.862972,64,False,sqrt_inverse,0.09177793420835692,0.000462258900102083,1,4.335281794951564e-05,COMPLETE
7,0.8635376259914587,2026-09-10 05:23:55.704656,2026-09-10 06:02:03.455012,0 days 00:38:07.750356,64,True,inverse,0.009757738947791927,8.168455894760161e-05,5,0.0022673986523780395,PRUNED
8,0.8488073244038568,2026-09-10 06:02:03.467390,2026-09-10 06:25:57.554070,0 days 00:23:54.086680,16,False,none,0.03881699724000254,4.066563313514796e-05,4,1.9634341572933304e-05,PRUNED
9,0.9453601281056154,2026-09-10 06:25:57.576795,2026-09-10 07:55:04.474182,0 days 01:29:06.897387,16,False,none,0.013273875307787925,0.00012399967836846095,1,3.585612610345396e-05,COMPLETE
10,0.828579850078496,2026-09-10 07:55:04.487415,2026-09-10 08:34:34.599214,0 days 00:39:30.111799,16,True,none,0.011182596551965624,5.989003672254293e-05,5,6.516990611177177e-05,PRUNED
11,0.9256099435585988,2026-09-10 08:34:34.612543,2026-09-10 09:26:06.934962,0 days 00:51:32.322419,64,False,sqrt_inverse,0.06537614639250441,0.0006001849628491605,4,0.00018064695945811465,PRUNED
12,0.9552635108377944,2026-09-10 09:26:06.955104,2026-09-10 10:50:58.964082,0 days 01:24:52.008978,64,False,sqrt_inverse,0.10012457623772764,0.0004548490396244796,2,1.5731194601419433e-05,COMPLETE
13,0.8920538672895155,2026-09-10 10:50:58.983929,2026-09-10 11:20:26.764702,0 days 00:29:27.780773,64,False,sqrt_inverse,0.09216091872897877,5.6052405140457496e-05,2,1.435180979235746e-05,PRUNED
14,,2026-09-10 11:20:26.789504,,,16,True,sqrt_inverse,0.07609573354185671,0.00044231950392913496,3,1.2836682634703806e-05,RUNNING
