number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weights,params_label_smoothing,params_learning_rate,params_warmup_epochs,params_weight_decay,state
0,0.9118025967903614,2026-09-12 20:13:28.928373,2026-09-12 20:27:22.350889,0 days 00:13:53.422516,16,none,0.09016725176148131,5.6115164153345e-05,4,0.0071144760093434225,COMPLETE
1,0.8164218715332753,2026-09-12 20:27:22.874956,2026-09-12 20:41:17.601524,0 days 00:13:54.726568,16,none,0.06479175279631737,1.0994335574766187e-05,2,0.008123245085588688,COMPLETE
2,0.9356676730718303,2026-09-12 20:41:18.089825,2026-09-12 20:54:46.492819,0 days 00:13:28.402994,64,sqrt_inverse,0.08886218532930637,0.00016738085788752134,1,2.621087878265438e-05,COMPLETE
3,0.9377810746024721,2026-09-12 20:54:47.025984,2026-09-12 21:08:13.559163,0 days 00:13:26.533179,64,sqrt_inverse,0.10263495397682353,0.000164092867306479,3,3.247673570627447e-05,COMPLETE
4,0.7643651231896382,2026-09-12 21:08:14.065823,2026-09-12 21:11:54.574189,0 days 00:03:40.508366,32,sqrt_inverse,0.08200654190149194,1.7541893487450798e-05,1,0.0003058656666978527,PRUNED
5,0.8902591235579997,2026-09-12 21:11:55.077329,2026-09-12 21:20:23.552406,0 days 00:08:28.475077,16,sqrt_inverse,0.00678409333658071,0.0008692991511139548,2,0.002115429079726122,PRUNED
6,0.7924808038448347,2026-09-12 21:20:24.085966,2026-09-12 21:24:06.941763,0 days 00:03:42.855797,16,none,0.011182596551965624,5.989003672254293e-05,5,6.516990611177177e-05,PRUNED
7,0.9458084045968689,2026-09-12 21:24:07.451293,2026-09-12 21:37:49.717701,0 days 00:13:42.266408,32,inverse,0.05376985928164089,0.0003503398491158688,1,3.9459088110999965e-05,COMPLETE
8,0.9059477191847475,2026-09-12 21:37:50.245939,2026-09-12 21:46:19.447191,0 days 00:08:29.201252,16,inverse,0.13308191138644898,0.0005323617594751496,3,0.0007411299781083245,PRUNED
9,0.7426387264380837,2026-09-12 21:46:19.964878,2026-09-12 21:49:55.535060,0 days 00:03:35.570182,64,inverse,0.003812869011614278,1.7345566642360933e-05,1,0.0013795402040204172,PRUNED
10,0.8746385849439344,2026-09-12 21:49:56.075837,2026-09-12 21:53:35.683647,0 days 00:03:39.607810,32,inverse,0.09277922245381823,0.0006971139458283248,2,4.069170562594485e-05,PRUNED
11,0.8480894930256839,2026-09-12 21:53:36.497257,2026-09-12 21:57:16.485903,0 days 00:03:39.988646,32,inverse,0.0034941164939038052,0.00018840558843082031,2,4.5878133116008786e-05,PRUNED
12,0.8508204535791424,2026-09-12 21:57:17.015649,2026-09-12 22:00:50.969578,0 days 00:03:33.953929,64,none,0.10903152747916688,0.0002700059861867733,4,1.1977402064999525e-05,PRUNED
13,0.8412802721812965,2026-09-12 22:00:51.504916,2026-09-12 22:04:27.669865,0 days 00:03:36.164949,64,sqrt_inverse,0.13858174265972656,8.042068249628328e-05,3,5.564264665021587e-05,PRUNED
14,0.8578089802655122,2026-09-12 22:04:28.210542,2026-09-12 22:08:04.129344,0 days 00:03:35.918802,64,sqrt_inverse,0.07432624712760684,0.000191056780938173,5,5.562849728885948e-05,PRUNED
15,0.8627218189262951,2026-09-12 22:08:04.666815,2026-09-12 22:11:42.212189,0 days 00:03:37.545374,32,none,0.0354744194490568,0.000758475937517485,1,7.303421505537457e-05,PRUNED
16,0.873237440015243,2026-09-12 22:11:42.729630,2026-09-12 22:15:17.880331,0 days 00:03:35.150701,64,sqrt_inverse,0.0989865601561127,0.00048623853585211854,3,0.00021421617826261814,PRUNED
17,0.8398835670269581,2026-09-12 22:15:18.395117,2026-09-12 22:18:57.101932,0 days 00:03:38.706815,32,none,0.07407149601345855,8.929236886688129e-05,1,2.090495466376865e-05,PRUNED
18,0.6660869220918098,2026-09-12 22:18:57.625533,2026-09-12 22:22:32.003609,0 days 00:03:34.378076,64,none,0.09405030020068296,2.0659192971959396e-05,4,1.1087757708613213e-05,PRUNED
19,0.9218519883666326,2026-09-12 22:22:32.519659,2026-09-12 22:31:03.630524,0 days 00:08:31.110865,16,inverse,0.03704227271943522,0.00024756203239050136,1,1.633733094581339e-05,PRUNED
20,0.8765178394511924,2026-09-12 22:31:04.153689,2026-09-12 22:34:38.421583,0 days 00:03:34.267894,64,inverse,0.07947488631609984,9.256363741645569e-05,1,0.0006028233020263703,PRUNED
21,0.8667030358356855,2026-09-12 22:34:38.948645,2026-09-12 22:38:12.761159,0 days 00:03:33.812514,64,sqrt_inverse,0.10402947417547256,0.00011839153808839945,1,3.1624517699841804e-05,PRUNED
22,0.9482571229890256,2026-09-12 22:38:13.284408,2026-09-12 22:51:37.136782,0 days 00:13:23.852374,64,sqrt_inverse,0.05633111724922725,0.0002719273903804248,1,1.1141701324858545e-05,COMPLETE
23,0.8062614565489498,2026-09-12 22:51:37.654246,2026-09-12 22:55:23.362183,0 days 00:03:45.707937,16,sqrt_inverse,0.022708090867739436,2.573985406716701e-05,1,1.159058456578721e-05,PRUNED
24,0.9072967927395561,2026-09-12 22:55:23.888775,2026-09-12 23:02:34.218316,0 days 00:07:10.329541,64,sqrt_inverse,0.04902001085645451,0.0009659766539757082,1,7.67053828535396e-05,PRUNED
